INSERT INTO Taxi VALUES ('YPP6492', 'Renault', 'Citroen', '2003', 'LP881328');
INSERT INTO Taxi VALUES ('QUY1848', 'Honda', 'Jaguar', '2005', 'PK210409');
INSERT INTO Taxi VALUES ('QKD5022', 'Nissan', 'Peugeot', '2022', 'FM330385');
INSERT INTO Taxi VALUES ('IAB3316', 'Mitsubishi', 'BWM', '2013', 'DF373575');
INSERT INTO Taxi VALUES ('KHU6311', 'BWM', 'Peugeot', '2020', 'FE973653');
INSERT INTO Taxi VALUES ('ORX1961', 'Citroen', 'Mitsubishi', '2012', 'ZH026034');
INSERT INTO Taxi VALUES ('GNM6092', 'BWM', 'Fiat', '2004', 'HZ430558');
INSERT INTO Taxi VALUES ('VBK8374', 'Peugeot', 'Nissan', '2010', 'SR472870');
INSERT INTO Taxi VALUES ('QJY9656', 'Jaguar', 'Toyota', '2005', 'ZH770331');
INSERT INTO Taxi VALUES ('VST6224', 'Honda', 'Jeep', '2001', 'RC877675');
INSERT INTO Taxi VALUES ('IUM6007', 'Toyota', 'Jaguar', '2004', 'KS636857');
INSERT INTO Taxi VALUES ('FOE7683', 'Suzuki', 'BYD', '2019', 'OO243334');
INSERT INTO Taxi VALUES ('RJK7537', 'Nissan', 'Jeep', '2019', 'BF124589');
INSERT INTO Taxi VALUES ('CDD8442', 'Fiat', 'Fiat', '2002', 'GG231804');
INSERT INTO Taxi VALUES ('GCH3983', 'Volkswagen', 'GWM', '2007', 'DH260546');
INSERT INTO Taxi VALUES ('NEA1406', 'BWM', 'Volkswagen', '2019', 'JG973480');
INSERT INTO Taxi VALUES ('GOM6755', 'Renault', 'Renault', '2000', 'ET870647');
INSERT INTO Taxi VALUES ('AUL6064', 'Fiat', 'Volkswagen', '2011', 'HO825891');
INSERT INTO Taxi VALUES ('QQK7179', 'BWM', 'Citroen', '2006', 'DD476210');
INSERT INTO Taxi VALUES ('OSD3745', 'Mitsubishi', 'Toyota', '2024', 'CK014395');
INSERT INTO Taxi VALUES ('ZRD3485', 'Renault', 'Peugeot', '2024', 'JY996512');
INSERT INTO Taxi VALUES ('WLK8269', 'Jeep', 'Renault', '2006', 'SH181664');
INSERT INTO Taxi VALUES ('HSG4788', 'Suzuki', 'Renault', '2015', 'DK446199');
INSERT INTO Taxi VALUES ('LZC8094', 'Nissan', 'Renault', '2007', 'DY183457');
INSERT INTO Taxi VALUES ('UDF1128', 'Citroen', 'Fiat', '2024', 'SM660467');
INSERT INTO Taxi VALUES ('QZB9519', 'Volkswagen', 'Peugeot', '2018', 'VT918322');
INSERT INTO Taxi VALUES ('RKN2465', 'Jaguar', 'Jeep', '1998', 'WS285829');
INSERT INTO Taxi VALUES ('KOA8086', 'Renault', 'Citroen', '2023', 'UJ746291');
INSERT INTO Taxi VALUES ('KMK6188', 'Peugeot', 'Volkswagen', '2013', 'XU536124');
INSERT INTO Taxi VALUES ('ICR2465', 'BWM', 'Renault', '2015', 'UM832507');
INSERT INTO Taxi VALUES ('LYZ8160', 'Volkswagen', 'Honda', '2000', 'VN078979');
INSERT INTO Taxi VALUES ('HOY0674', 'Fiat', 'Jeep', '2005', 'EO784541');
INSERT INTO Taxi VALUES ('VXP4533', 'Nissan', 'Fiat', '1998', 'WQ878322');
INSERT INTO Taxi VALUES ('LTW6260', 'Volkswagen', 'Jaguar', '2021', 'TB733983');
INSERT INTO Taxi VALUES ('ELM4799', 'Peugeot', 'Volkswagen', '2021', 'ZZ068547');
INSERT INTO Taxi VALUES ('ZDJ0107', 'Suzuki', 'Suzuki', '2005', 'CG023869');
INSERT INTO Taxi VALUES ('OON8877', 'Honda', 'Renault', '2005', 'MU187200');
INSERT INTO Taxi VALUES ('RDB2608', 'Suzuki', 'Renault', '2003', 'EM460393');
INSERT INTO Taxi VALUES ('QWY6248', 'Marcopolo', 'BWM', '2001', 'WG828901');
INSERT INTO Taxi VALUES ('DLQ8932', 'Marcopolo', 'Citroen', '1999', 'YR620753');
INSERT INTO Taxi VALUES ('CAZ7645', 'Suzuki', 'Suzuki', '2022', 'SF014811');
INSERT INTO Taxi VALUES ('WQK8511', 'Mitsubishi', 'Volkswagen', '2006', 'AT469809');
INSERT INTO Taxi VALUES ('NPY4246', 'Renault', 'Peugeot', '2007', 'ZF928761');
INSERT INTO Taxi VALUES ('RUJ6278', 'Renault', 'Fiat', '2024', 'LB947069');
INSERT INTO Taxi VALUES ('LBC3709', 'Peugeot', 'Mitsubishi', '2011', 'PR410839');
INSERT INTO Taxi VALUES ('CWV7584', 'Mitsubishi', 'Fiat', '2003', 'HZ542613');
INSERT INTO Taxi VALUES ('RTW5985', 'Nissan', 'Citroen', '2008', 'QA053732');
INSERT INTO Taxi VALUES ('CTX2048', 'Renault', 'Volkswagen', '2024', 'ZR150076');
INSERT INTO Taxi VALUES ('GIJ1899', 'Suzuki', 'Renault', '2006', 'UK227187');
INSERT INTO Taxi VALUES ('YJE1864', 'Nissan', 'Fiat', '2009', 'DP315769');
INSERT INTO Taxi VALUES ('RDH2483', 'Honda', 'Volkswagen', '2000', 'ID872352');
INSERT INTO Taxi VALUES ('VBG5009', 'Jaguar', 'Mitsubishi', '2005', 'OU415230');
INSERT INTO Taxi VALUES ('ZAJ1092', 'Jeep', 'Peugeot', '2010', 'GF700668');
INSERT INTO Taxi VALUES ('HII7881', 'Citroen', 'Suzuki', '2013', 'FX097859');
INSERT INTO Taxi VALUES ('LVG0444', 'GWM', 'Volkswagen', '2015', 'OY946620');
INSERT INTO Taxi VALUES ('TCS6311', 'Volkswagen', 'Nissan', '2003', 'PI933243');
INSERT INTO Taxi VALUES ('RSL0563', 'Nissan', 'Jaguar', '2022', 'XU314855');
INSERT INTO Taxi VALUES ('LKB5467', 'BYD', 'Marcopolo', '2024', 'CG530953');
INSERT INTO Taxi VALUES ('FFO5366', 'Renault', 'Fiat', '2017', 'BI813849');
INSERT INTO Taxi VALUES ('DPO2254', 'Jaguar', 'Honda', '2010', 'QD629569');
INSERT INTO Taxi VALUES ('QWO0712', 'Mitsubishi', 'Mitsubishi', '2014', 'PR844533');
INSERT INTO Taxi VALUES ('FZN2631', 'Renault', 'Honda', '2013', 'GV557517');
INSERT INTO Taxi VALUES ('WTQ6417', 'Volkswagen', 'Mitsubishi', '2021', 'JH167882');
INSERT INTO Taxi VALUES ('UEK2082', 'Fiat', 'Mitsubishi', '2011', 'WP108708');
INSERT INTO Taxi VALUES ('GYM5790', 'Suzuki', 'BWM', '2007', 'UW257292');
INSERT INTO Taxi VALUES ('UZR9368', 'Toyota', 'Mitsubishi', '1998', 'PG468890');
INSERT INTO Taxi VALUES ('HRD4434', 'Honda', 'Mitsubishi', '1998', 'VK382597');
INSERT INTO Taxi VALUES ('ULZ3661', 'Marcopolo', 'Nissan', '2013', 'EG657260');
INSERT INTO Taxi VALUES ('OSR7390', 'Honda', 'Nissan', '2013', 'AI971738');
INSERT INTO Taxi VALUES ('DRY8865', 'Fiat', 'Fiat', '2004', 'LX733766');
INSERT INTO Taxi VALUES ('KLE1452', 'Nissan', 'Citroen', '2016', 'OC169949');
INSERT INTO Taxi VALUES ('WGT9401', 'Nissan', 'Fiat', '2006', 'LA693630');
INSERT INTO Taxi VALUES ('YEA9772', 'Honda', 'GWM', '2011', 'CA400902');
INSERT INTO Taxi VALUES ('RIJ2364', 'Nissan', 'GWM', '2005', 'ME546761');
INSERT INTO Taxi VALUES ('QOQ3447', 'Honda', 'Volkswagen', '2015', 'KZ628959');
INSERT INTO Taxi VALUES ('IRN9809', 'BYD', 'Nissan', '2011', 'WJ254800');
INSERT INTO Taxi VALUES ('CEU8211', 'Nissan', 'BYD', '2015', 'CU445545');
INSERT INTO Taxi VALUES ('VMC1561', 'Citroen', 'Nissan', '2003', 'AF643236');
INSERT INTO Taxi VALUES ('PHL1350', 'Jeep', 'Suzuki', '1999', 'UH708005');
INSERT INTO Taxi VALUES ('KZV7691', 'GWM', 'Peugeot', '2020', 'KI926475');
INSERT INTO Taxi VALUES ('OFP0141', 'Mitsubishi', 'BYD', '2000', 'RA922564');
INSERT INTO Taxi VALUES ('FXA0979', 'Nissan', 'Nissan', '2023', 'NQ011477');
INSERT INTO Taxi VALUES ('DQM7796', 'Jaguar', 'Nissan', '2011', 'XJ735076');
INSERT INTO Taxi VALUES ('BXV5661', 'Mitsubishi', 'Nissan', '2008', 'BX430012');
INSERT INTO Taxi VALUES ('VQL2209', 'Renault', 'Citroen', '1998', 'KV569041');
INSERT INTO Taxi VALUES ('HYU4772', 'Peugeot', 'Nissan', '2017', 'VS997109');
INSERT INTO Taxi VALUES ('RAA8794', 'Volkswagen', 'Honda', '2002', 'FH649012');
INSERT INTO Taxi VALUES ('OBN0165', 'Jaguar', 'Marcopolo', '2009', 'PI075525');
INSERT INTO Taxi VALUES ('DJG9684', 'BWM', 'Fiat', '2009', 'NH296303');
INSERT INTO Taxi VALUES ('KBJ8462', 'Renault', 'Volkswagen', '1999', 'SH492513');
INSERT INTO Taxi VALUES ('HAN9549', 'Mitsubishi', 'Citroen', '2006', 'VY070395');
INSERT INTO Taxi VALUES ('ZER1409', 'Jaguar', 'Peugeot', '2014', 'GO190115');
INSERT INTO Taxi VALUES ('GCC1226', 'BWM', 'BYD', '2023', 'TS527785');
INSERT INTO Taxi VALUES ('JFO5399', 'BWM', 'Nissan', '2007', 'BQ331273');
INSERT INTO Taxi VALUES ('PYX3313', 'Nissan', 'Marcopolo', '2024', 'XY737520');
INSERT INTO Taxi VALUES ('SKY3636', 'Suzuki', 'Fiat', '2007', 'IL325509');
INSERT INTO Taxi VALUES ('HIY0257', 'BYD', 'Nissan', '2004', 'EI416911');
INSERT INTO Taxi VALUES ('TPZ4912', 'Suzuki', 'Marcopolo', '2017', 'DD138141');
INSERT INTO Taxi VALUES ('DIY5109', 'Honda', 'Volkswagen', '2019', 'HP027139');
INSERT INTO Taxi VALUES ('OXB9687', 'Fiat', 'Toyota', '2010', 'NM316207');
INSERT INTO Taxi VALUES ('RPR2015', 'Peugeot', 'BWM', '2009', 'WV747861');
INSERT INTO Taxi VALUES ('NHK3408', 'Citroen', 'Nissan', '2014', 'QI713231');
INSERT INTO Taxi VALUES ('DGT7289', 'Citroen', 'Citroen', '2016', 'BN480298');
INSERT INTO Taxi VALUES ('BRK2670', 'Suzuki', 'Fiat', '2011', 'BC799211');
INSERT INTO Taxi VALUES ('RZE7499', 'Citroen', 'Renault', '2001', 'KI729316');
INSERT INTO Taxi VALUES ('WGE8048', 'Volkswagen', 'Renault', '2017', 'MM078744');
INSERT INTO Taxi VALUES ('DPI5306', 'Fiat', 'Fiat', '2010', 'WB480901');
INSERT INTO Taxi VALUES ('SYI8971', 'GWM', 'Volkswagen', '2009', 'YX844831');
INSERT INTO Taxi VALUES ('XGC9883', 'Jeep', 'Mitsubishi', '2003', 'QU394217');
INSERT INTO Taxi VALUES ('FAI1426', 'Honda', 'BYD', '2023', 'MS214571');
INSERT INTO Taxi VALUES ('XAU6942', 'Fiat', 'BWM', '2024', 'RP213134');
INSERT INTO Taxi VALUES ('SKT2630', 'Volkswagen', 'Suzuki', '2013', 'WG519813');
INSERT INTO Taxi VALUES ('OUK7989', 'Volkswagen', 'Marcopolo', '2014', 'JE285513');
INSERT INTO Taxi VALUES ('HOB8725', 'Suzuki', 'Volkswagen', '2016', 'OI151697');
INSERT INTO Taxi VALUES ('ZBI8111', 'GWM', 'Volkswagen', '2007', 'IL515804');
INSERT INTO Taxi VALUES ('LOU6793', 'Honda', 'Jaguar', '2009', 'DZ524006');
INSERT INTO Taxi VALUES ('AEQ8246', 'BWM', 'Fiat', '2010', 'XU315046');
INSERT INTO Taxi VALUES ('FAA6742', 'Volkswagen', 'BYD', '2020', 'CP156108');
INSERT INTO Taxi VALUES ('JXM6193', 'Marcopolo', 'Jaguar', '2020', 'YV762239');
INSERT INTO Taxi VALUES ('JBM9247', 'Honda', 'Jaguar', '2005', 'RF720528');
INSERT INTO Taxi VALUES ('RBW4783', 'Fiat', 'GWM', '2001', 'MH957739');
INSERT INTO Taxi VALUES ('NGH0244', 'Toyota', 'Renault', '2012', 'KJ468267');
INSERT INTO Taxi VALUES ('DUD9704', 'Nissan', 'Nissan', '2001', 'UJ439498');
INSERT INTO Taxi VALUES ('MIU1112', 'Volkswagen', 'Jaguar', '2006', 'EQ015386');
INSERT INTO Taxi VALUES ('GCC7123', 'Honda', 'Jaguar', '2004', 'FF979473');
INSERT INTO Taxi VALUES ('BXX3055', 'Citroen', 'Mitsubishi', '1998', 'KH697121');
INSERT INTO Taxi VALUES ('IOR0636', 'BWM', 'Toyota', '2000', 'GQ241071');
INSERT INTO Taxi VALUES ('CDC5813', 'Jeep', 'Nissan', '2005', 'DO063062');
INSERT INTO Taxi VALUES ('IBP3649', 'Renault', 'Suzuki', '2011', 'CH552024');
INSERT INTO Taxi VALUES ('GDU3093', 'GWM', 'BYD', '2014', 'RL669109');
INSERT INTO Taxi VALUES ('GFC8090', 'Nissan', 'Renault', '2018', 'JG347408');
INSERT INTO Taxi VALUES ('WGZ7708', 'Mitsubishi', 'Renault', '2019', 'ET048088');
INSERT INTO Taxi VALUES ('VNW0433', 'Volkswagen', 'Suzuki', '2014', 'NR287720');
INSERT INTO Taxi VALUES ('BCR1296', 'Honda', 'Mitsubishi', '2001', 'GT469693');
INSERT INTO Taxi VALUES ('TTX8119', 'BYD', 'Nissan', '2004', 'GI538587');
INSERT INTO Taxi VALUES ('QHC3119', 'Suzuki', 'Citroen', '2001', 'MJ086143');
INSERT INTO Taxi VALUES ('YVI7381', 'Renault', 'Volkswagen', '2016', 'GN388984');
INSERT INTO Taxi VALUES ('YQP3078', 'Jaguar', 'Nissan', '2013', 'PE095057');
INSERT INTO Taxi VALUES ('IGJ8801', 'Nissan', 'Suzuki', '2011', 'TG715516');
INSERT INTO Taxi VALUES ('MRB3281', 'Nissan', 'Mitsubishi', '2023', 'BO390833');
INSERT INTO Taxi VALUES ('GAH6637', 'Jeep', 'GWM', '2010', 'CT950649');
INSERT INTO Taxi VALUES ('HXS5565', 'Jaguar', 'Honda', '2013', 'HQ736654');
INSERT INTO Taxi VALUES ('RME8965', 'Renault', 'Volkswagen', '2005', 'MO886151');
INSERT INTO Taxi VALUES ('UJW9832', 'Nissan', 'Fiat', '2008', 'KI250544');
INSERT INTO Taxi VALUES ('UBI6524', 'Suzuki', 'BWM', '2009', 'ZT945482');
INSERT INTO Taxi VALUES ('USZ1880', 'Volkswagen', 'Citroen', '2011', 'PS427250');
INSERT INTO Taxi VALUES ('ARH2207', 'Peugeot', 'Fiat', '1999', 'LE331729');
INSERT INTO Taxi VALUES ('ZWG8894', 'Mitsubishi', 'Citroen', '2007', 'WY302202');
INSERT INTO Taxi VALUES ('NRG9136', 'Nissan', 'Renault', '2013', 'ZK577064');
INSERT INTO Taxi VALUES ('JTT5913', 'Volkswagen', 'Jeep', '2010', 'QP493688');
INSERT INTO Taxi VALUES ('OKL9386', 'Mitsubishi', 'Suzuki', '2007', 'ZM964309');
INSERT INTO Taxi VALUES ('MNC5089', 'Jaguar', 'Renault', '2005', 'HK712005');
INSERT INTO Taxi VALUES ('REG1147', 'Mitsubishi', 'Fiat', '2013', 'GB267449');
INSERT INTO Taxi VALUES ('BAR0282', 'Suzuki', 'BWM', '2006', 'GT938501');
INSERT INTO Taxi VALUES ('EUG0122', 'Volkswagen', 'Mitsubishi', '2019', 'LG243320');
INSERT INTO Taxi VALUES ('GYN0613', 'Renault', 'Fiat', '2000', 'WI361780');
INSERT INTO Taxi VALUES ('ETN2241', 'Peugeot', 'Citroen', '2005', 'PY278064');
INSERT INTO Taxi VALUES ('DFC0127', 'Volkswagen', 'Nissan', '2006', 'IS928003');
INSERT INTO Taxi VALUES ('FNM4215', 'Citroen', 'Suzuki', '1999', 'SF283387');
INSERT INTO Taxi VALUES ('CTZ3152', 'Honda', 'Suzuki', '2003', 'LH978042');
INSERT INTO Taxi VALUES ('SHU0164', 'BYD', 'Volkswagen', '2021', 'ZJ366610');
INSERT INTO Taxi VALUES ('ALJ1217', 'Suzuki', 'Volkswagen', '2022', 'EZ401357');
INSERT INTO Taxi VALUES ('DNC0425', 'Peugeot', 'Suzuki', '2017', 'VY132895');
INSERT INTO Taxi VALUES ('XCQ6486', 'Fiat', 'Jaguar', '2005', 'OW900425');
INSERT INTO Taxi VALUES ('SSI7770', 'Honda', 'Renault', '2002', 'HQ727618');
INSERT INTO Taxi VALUES ('TTH7418', 'Jaguar', 'Fiat', '2001', 'JG100643');
INSERT INTO Taxi VALUES ('OUQ1219', 'Jaguar', 'BYD', '2009', 'KM658488');
INSERT INTO Taxi VALUES ('ZGK0766', 'Jeep', 'BWM', '2006', 'FY797143');
INSERT INTO Taxi VALUES ('NHO7744', 'Renault', 'Toyota', '1999', 'EI835753');
INSERT INTO Taxi VALUES ('UKP9990', 'Volkswagen', 'Peugeot', '2023', 'GQ398786');
INSERT INTO Taxi VALUES ('SKE7219', 'Fiat', 'BYD', '2019', 'FL323777');
INSERT INTO Taxi VALUES ('NOJ1535', 'BYD', 'Fiat', '2002', 'BX849292');
INSERT INTO Taxi VALUES ('TJH9454', 'Peugeot', 'Nissan', '2023', 'UD975473');
INSERT INTO Taxi VALUES ('PDZ5071', 'Citroen', 'Volkswagen', '2010', 'YF709176');
INSERT INTO Taxi VALUES ('DYY2404', 'Marcopolo', 'Citroen', '1999', 'PC344520');
INSERT INTO Taxi VALUES ('GZK7784', 'Renault', 'Volkswagen', '2006', 'XG558282');
INSERT INTO Taxi VALUES ('ZIZ5720', 'Jaguar', 'Suzuki', '2006', 'ZI473028');
INSERT INTO Taxi VALUES ('QGF0812', 'Fiat', 'Suzuki', '2023', 'QK590885');
INSERT INTO Taxi VALUES ('JRT8288', 'Fiat', 'Honda', '2008', 'LC468710');
INSERT INTO Taxi VALUES ('PYU1122', 'BWM', 'Suzuki', '2011', 'DS891944');
INSERT INTO Taxi VALUES ('CBP4650', 'BYD', 'Honda', '2020', 'DK498285');
INSERT INTO Taxi VALUES ('VDW3692', 'BYD', 'Mitsubishi', '2008', 'IW090141');
INSERT INTO Taxi VALUES ('PEE7719', 'Honda', 'Nissan', '2012', 'KO915498');
INSERT INTO Taxi VALUES ('KFE8302', 'Volkswagen', 'Volkswagen', '2001', 'BL141322');
INSERT INTO Taxi VALUES ('TAO5899', 'Honda', 'Suzuki', '2018', 'TL080536');
INSERT INTO Taxi VALUES ('RGG5063', 'Peugeot', 'Fiat', '2007', 'TP048625');
INSERT INTO Taxi VALUES ('XRR2849', 'Citroen', 'Honda', '2016', 'JC961651');
INSERT INTO Taxi VALUES ('XKA1782', 'BWM', 'Nissan', '2003', 'OM507405');
INSERT INTO Taxi VALUES ('IQU6950', 'Honda', 'Toyota', '2023', 'ZO033922');
INSERT INTO Taxi VALUES ('XZI5772', 'Volkswagen', 'Suzuki', '2020', 'RS352518');
INSERT INTO Taxi VALUES ('FNG3932', 'Citroen', 'Honda', '2020', 'BW039934');
INSERT INTO Taxi VALUES ('VFE5419', 'Marcopolo', 'Nissan', '2019', 'FR543045');
INSERT INTO Taxi VALUES ('EBK2738', 'Honda', 'Volkswagen', '2003', 'OE841359');
INSERT INTO Taxi VALUES ('IKQ4910', 'BWM', 'Suzuki', '2005', 'OL409319');
INSERT INTO Taxi VALUES ('PIK3217', 'Nissan', 'Nissan', '2003', 'BQ341996');
INSERT INTO Taxi VALUES ('XFP9490', 'GWM', 'Mitsubishi', '2017', 'HQ483776');
INSERT INTO Taxi VALUES ('YVL1160', 'Renault', 'Citroen', '2010', 'IV647518');
INSERT INTO Taxi VALUES ('DZX7072', 'Mitsubishi', 'Renault', '2015', 'XE134289');
INSERT INTO Taxi VALUES ('VNF1288', 'Suzuki', 'Volkswagen', '2019', 'TJ884752');
INSERT INTO Taxi VALUES ('JML6426', 'Honda', 'Suzuki', '2008', 'FW059329');
INSERT INTO Taxi VALUES ('UAV5726', 'GWM', 'Citroen', '2004', 'XA702358');
INSERT INTO Taxi VALUES ('OTM1793', 'Renault', 'Fiat', '2019', 'RU182664');
INSERT INTO Taxi VALUES ('OFB1902', 'BWM', 'Peugeot', '2010', 'QB508544');
INSERT INTO Taxi VALUES ('TCV2864', 'Peugeot', 'Volkswagen', '2023', 'YT809966');
INSERT INTO Taxi VALUES ('NZA3103', 'Peugeot', 'Volkswagen', '2007', 'JI819268');
INSERT INTO Taxi VALUES ('YXN8268', 'Suzuki', 'Volkswagen', '1999', 'AB194469');
INSERT INTO Taxi VALUES ('AXA4524', 'Fiat', 'Fiat', '2011', 'YN182664');
INSERT INTO Taxi VALUES ('XQH7880', 'Suzuki', 'Mitsubishi', '2000', 'RH785129');
INSERT INTO Taxi VALUES ('QIB4101', 'GWM', 'Fiat', '2014', 'FB040368');
INSERT INTO Taxi VALUES ('KLK6576', 'Fiat', 'Fiat', '2012', 'LM398282');
INSERT INTO Taxi VALUES ('BJN2346', 'Mitsubishi', 'Nissan', '2017', 'KB817305');
INSERT INTO Taxi VALUES ('AFE5237', 'Peugeot', 'Honda', '2012', 'IT728153');
INSERT INTO Taxi VALUES ('BCA4130', 'Jeep', 'Fiat', '2020', 'OI074359');
INSERT INTO Taxi VALUES ('OKT8003', 'BYD', 'Jaguar', '2018', 'TE365147');
INSERT INTO Taxi VALUES ('CTT7539', 'Volkswagen', 'Honda', '2003', 'NZ181476');
INSERT INTO Taxi VALUES ('BPV9861', 'Marcopolo', 'Nissan', '2018', 'PV718047');
INSERT INTO Taxi VALUES ('ZJN3917', 'Volkswagen', 'Nissan', '2019', 'ME074343');
INSERT INTO Taxi VALUES ('XYL9568', 'Fiat', 'BYD', '2004', 'XF424544');
INSERT INTO Taxi VALUES ('AYU2237', 'Nissan', 'Suzuki', '2005', 'IV622236');
INSERT INTO Taxi VALUES ('VIQ5720', 'Fiat', 'Fiat', '2001', 'DV938722');
INSERT INTO Taxi VALUES ('ZFD2379', 'BYD', 'Suzuki', '2007', 'JL617487');
INSERT INTO Taxi VALUES ('EKT2897', 'Honda', 'Nissan', '2007', 'LU079427');
INSERT INTO Taxi VALUES ('CNP9329', 'Marcopolo', 'Renault', '2003', 'HR996798');
INSERT INTO Taxi VALUES ('SXB9556', 'GWM', 'Renault', '1998', 'EJ519999');
INSERT INTO Taxi VALUES ('ALB3064', 'Renault', 'Peugeot', '2013', 'OK970901');
INSERT INTO Taxi VALUES ('WDI4315', 'Renault', 'Nissan', '2017', 'OA284855');
INSERT INTO Taxi VALUES ('UOG5601', 'Mitsubishi', 'Jeep', '2016', 'EE733349');
INSERT INTO Taxi VALUES ('AGV1574', 'Mitsubishi', 'Marcopolo', '2019', 'YF463222');
INSERT INTO Taxi VALUES ('XBI9908', 'Fiat', 'Citroen', '2013', 'AX779579');
INSERT INTO Taxi VALUES ('OJH3342', 'Renault', 'Nissan', '2019', 'HG872304');
INSERT INTO Taxi VALUES ('DFW0343', 'Jeep', 'Mitsubishi', '2015', 'HB994370');
INSERT INTO Taxi VALUES ('VDD5340', 'Jaguar', 'Honda', '2008', 'IX390030');
INSERT INTO Taxi VALUES ('OWD0534', 'Jeep', 'Jeep', '2003', 'YH534915');
INSERT INTO Taxi VALUES ('WFY1070', 'Citroen', 'BWM', '2010', 'IQ243668');
INSERT INTO Taxi VALUES ('YQU0970', 'Suzuki', 'Renault', '2010', 'HG429259');
INSERT INTO Taxi VALUES ('CGE6605', 'Fiat', 'Jaguar', '2007', 'PQ324061');
INSERT INTO Taxi VALUES ('LCD1674', 'Peugeot', 'Nissan', '2004', 'CF061821');
INSERT INTO Taxi VALUES ('CVM3830', 'Citroen', 'Marcopolo', '2011', 'PT098985');
INSERT INTO Taxi VALUES ('FRU2007', 'Jaguar', 'Toyota', '2001', 'WP341744');
INSERT INTO Taxi VALUES ('QUU7765', 'Renault', 'BWM', '2020', 'RB050720');
INSERT INTO Taxi VALUES ('LQY1649', 'Jaguar', 'GWM', '2018', 'XW532686');
INSERT INTO Taxi VALUES ('QVQ9502', 'Fiat', 'BWM', '2011', 'TH837551');
INSERT INTO Taxi VALUES ('EPI0376', 'GWM', 'Mitsubishi', '2022', 'HZ962401');
INSERT INTO Taxi VALUES ('LTJ3237', 'Honda', 'Fiat', '2003', 'ST367292');
INSERT INTO Taxi VALUES ('GTT5226', 'Mitsubishi', 'Volkswagen', '2002', 'IR883015');
INSERT INTO Taxi VALUES ('YPQ3575', 'Jeep', 'Volkswagen', '1998', 'MA697282');
INSERT INTO Taxi VALUES ('OEM6808', 'Marcopolo', 'Volkswagen', '2014', 'BC972182');
INSERT INTO Taxi VALUES ('RWL1126', 'Renault', 'Suzuki', '2010', 'HT756681');
INSERT INTO Taxi VALUES ('YWO9619', 'Fiat', 'Volkswagen', '2007', 'IB224560');
INSERT INTO Taxi VALUES ('DKY0222', 'Jaguar', 'Jaguar', '2019', 'WC784725');
INSERT INTO Taxi VALUES ('TCV0932', 'Honda', 'Fiat', '1998', 'YH703004');
INSERT INTO Taxi VALUES ('JBU4544', 'Marcopolo', 'Volkswagen', '2010', 'KO282204');
INSERT INTO Taxi VALUES ('KVS9303', 'Volkswagen', 'Mitsubishi', '2009', 'OH460440');
INSERT INTO Taxi VALUES ('XOP3246', 'Honda', 'GWM', '2011', 'XK703668');
INSERT INTO Taxi VALUES ('GWZ9391', 'Honda', 'Suzuki', '2022', 'XH142932');
INSERT INTO Taxi VALUES ('VDW3428', 'Mitsubishi', 'Jaguar', '2023', 'AO308879');
INSERT INTO Taxi VALUES ('IEB1603', 'Jeep', 'Mitsubishi', '2019', 'YB543241');
INSERT INTO Taxi VALUES ('HFP4989', 'Suzuki', 'Volkswagen', '2011', 'AI302883');
INSERT INTO Taxi VALUES ('GZS7533', 'Citroen', 'Marcopolo', '2007', 'WY582050');
INSERT INTO Taxi VALUES ('XYW3938', 'Volkswagen', 'Toyota', '2007', 'CT270500');
INSERT INTO Taxi VALUES ('TSQ2247', 'BWM', 'Peugeot', '2023', 'WI112706');
INSERT INTO Taxi VALUES ('NMM5821', 'Renault', 'GWM', '1998', 'KU859521');
INSERT INTO Taxi VALUES ('CYI8323', 'Jeep', 'BWM', '2021', 'XX203874');
INSERT INTO Taxi VALUES ('PWI8394', 'Honda', 'Volkswagen', '2016', 'OD660273');
INSERT INTO Taxi VALUES ('MNU8797', 'Mitsubishi', 'Honda', '2017', 'QV940456');
INSERT INTO Taxi VALUES ('MLB5919', 'Mitsubishi', 'Volkswagen', '2021', 'UV773028');
INSERT INTO Taxi VALUES ('EUK6589', 'Nissan', 'Honda', '2004', 'DX871739');
INSERT INTO Taxi VALUES ('VVH2883', 'Fiat', 'Honda', '2003', 'JL929349');
INSERT INTO Taxi VALUES ('ZCV7558', 'Marcopolo', 'Nissan', '2012', 'GU667310');
INSERT INTO Taxi VALUES ('XLR2683', 'Volkswagen', 'Renault', '2002', 'RV285500');
INSERT INTO Taxi VALUES ('UBF4171', 'Citroen', 'Fiat', '2006', 'IS282354');
INSERT INTO Taxi VALUES ('PDU7950', 'Honda', 'Volkswagen', '2021', 'NO876067');
INSERT INTO Taxi VALUES ('HZB7608', 'Peugeot', 'Fiat', '1999', 'RP683690');
INSERT INTO Taxi VALUES ('ZCF7195', 'Mitsubishi', 'Volkswagen', '1999', 'XE324155');
INSERT INTO Taxi VALUES ('NAG2259', 'Peugeot', 'Toyota', '2021', 'TG813450');
INSERT INTO Taxi VALUES ('OLJ4080', 'Citroen', 'Renault', '2000', 'QF287681');
INSERT INTO Taxi VALUES ('YTF4443', 'Jeep', 'Jaguar', '2011', 'BF638115');
INSERT INTO Taxi VALUES ('HWY1269', 'Volkswagen', 'Citroen', '2017', 'BV889286');
INSERT INTO Taxi VALUES ('WGE4746', 'Suzuki', 'Citroen', '2014', 'YL905866');
